date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2009-01-01 00:00:00,24,10,0.0,8.7,4,1,31,09:56 AM,09:45 PM,06:57 AM,05:28 PM,2,11,12,11,21,17,50,0.0,1015,11,10,320,10
2009-01-01 01:00:00,24,10,0.0,8.7,4,1,31,09:56 AM,09:45 PM,06:57 AM,05:28 PM,3,12,13,12,22,11,52,0.0,1015,11,10,315,11
2009-01-01 02:00:00,24,10,0.0,8.7,4,1,31,09:56 AM,09:45 PM,06:57 AM,05:28 PM,4,12,13,12,23,6,55,0.0,1015,11,10,310,11
2009-01-01 03:00:00,24,10,0.0,8.7,4,1,31,09:56 AM,09:45 PM,06:57 AM,05:28 PM,5,12,13,12,23,0,57,0.0,1015,10,10,304,12
2009-01-01 04:00:00,24,10,0.0,8.7,4,1,31,09:56 AM,09:45 PM,06:57 AM,05:28 PM,5,14,14,14,19,0,54,0.0,1016,11,10,302,11
2009-01-01 05:00:00,24,10,0.0,8.7,4,1,31,09:56 AM,09:45 PM,06:57 AM,05:28 PM,6,16,16,16,15,0,52,0.0,1016,12,10,301,10
2009-01-01 06:00:00,24,10,0.0,8.7,4,4,31,09:56 AM,09:45 PM,06:57 AM,05:28 PM,6,17,17,17,10,0,49,0.0,1017,14,10,299,9
2009-01-01 07:00:00,24,10,0.0,8.7,4,5,31,09:56 AM,09:45 PM,06:57 AM,05:28 PM,7,20,20,20,10,0,44,0.0,1017,16,10,297,9
2009-01-01 08:00:00,24,10,0.0,8.7,4,5,31,09:56 AM,09:45 PM,06:57 AM,05:28 PM,7,23,22,23,10,0,38,0.0,1017,19,10,296,8
2009-01-01 09:00:00,24,10,0.0,8.7,4,6,31,09:56 AM,09:45 PM,06:57 AM,05:28 PM,8,25,25,25,9,0,33,0.0,1017,21,10,295,8
2009-01-01 10:00:00,24,10,0.0,8.7,4,6,31,09:56 AM,09:45 PM,06:57 AM,05:28 PM,7,25,25,25,10,1,31,0.0,1016,22,10,299,9
2009-01-01 11:00:00,24,10,0.0,8.7,4,6,31,09:56 AM,09:45 PM,06:57 AM,05:28 PM,7,25,25,26,11,2,30,0.0,1015,23,10,303,10
2009-01-01 12:00:00,24,10,0.0,8.7,4,6,31,09:56 AM,09:45 PM,06:57 AM,05:28 PM,6,25,25,26,12,2,28,0.0,1014,24,10,307,10
2009-01-01 13:00:00,24,10,0.0,8.7,4,6,31,09:56 AM,09:45 PM,06:57 AM,05:28 PM,9,23,23,23,12,2,43,0.0,1014,21,10,306,9
2009-01-01 14:00:00,24,10,0.0,8.7,4,5,31,09:56 AM,09:45 PM,06:57 AM,05:28 PM,11,21,21,21,11,1,58,0.0,1014,18,10,306,7
2009-01-01 15:00:00,24,10,0.0,8.7,4,4,31,09:56 AM,09:45 PM,06:57 AM,05:28 PM,13,18,18,18,11,0,73,0.0,1014,14,10,306,5
2009-01-01 16:00:00,24,10,0.0,8.7,4,4,31,09:56 AM,09:45 PM,06:57 AM,05:28 PM,11,17,17,17,11,1,68,0.0,1015,13,10,308,5
2009-01-01 17:00:00,24,10,0.0,8.7,4,4,31,09:56 AM,09:45 PM,06:57 AM,05:28 PM,8,15,15,15,12,3,64,0.0,1015,13,10,310,6
2009-01-01 18:00:00,24,10,0.0,8.7,4,4,31,09:56 AM,09:45 PM,06:57 AM,05:28 PM,6,14,14,14,13,4,59,0.0,1015,12,10,311,6
2009-01-01 19:00:00,24,10,0.0,8.7,4,1,31,09:56 AM,09:45 PM,06:57 AM,05:28 PM,6,13,13,13,13,4,64,0.0,1015,11,10,307,6
2009-01-01 20:00:00,24,10,0.0,8.7,4,1,31,09:56 AM,09:45 PM,06:57 AM,05:28 PM,7,12,13,12,13,5,68,0.0,1016,11,10,302,6
2009-01-01 21:00:00,24,10,0.0,8.7,4,1,31,09:56 AM,09:45 PM,06:57 AM,05:28 PM,7,12,12,12,13,5,73,0.0,1016,10,10,297,6
2009-01-01 22:00:00,24,10,0.0,8.7,4,1,31,09:56 AM,09:45 PM,06:57 AM,05:28 PM,6,12,13,12,15,3,66,0.0,1016,10,10,307,7
2009-01-01 23:00:00,24,10,0.0,8.7,4,1,31,09:56 AM,09:45 PM,06:57 AM,05:28 PM,6,13,13,13,17,2,60,0.0,1016,10,10,316,8
2009-01-02 00:00:00,23,6,0.0,8.7,4,1,38,10:26 AM,10:39 PM,06:57 AM,05:29 PM,5,14,14,14,20,0,53,0.0,1016,10,10,325,9
2009-01-02 01:00:00,23,6,0.0,8.7,4,1,38,10:26 AM,10:39 PM,06:57 AM,05:29 PM,6,13,13,13,15,0,62,0.0,1016,9,10,324,7
2009-01-02 02:00:00,23,6,0.0,8.7,4,1,38,10:26 AM,10:39 PM,06:57 AM,05:29 PM,7,13,13,13,10,0,71,0.0,1016,8,10,323,5
2009-01-02 03:00:00,23,6,0.0,8.7,4,1,38,10:26 AM,10:39 PM,06:57 AM,05:29 PM,9,12,12,12,5,0,79,0.0,1016,6,10,321,3
2009-01-02 04:00:00,23,6,0.0,8.7,4,1,38,10:26 AM,10:39 PM,06:57 AM,05:29 PM,8,15,15,15,4,0,67,0.0,1017,9,10,230,2
2009-01-02 05:00:00,23,6,0.0,8.7,4,1,38,10:26 AM,10:39 PM,06:57 AM,05:29 PM,7,17,17,17,3,0,54,0.0,1018,12,10,138,2
2009-01-02 06:00:00,23,6,0.0,8.7,4,4,38,10:26 AM,10:39 PM,06:57 AM,05:29 PM,6,20,20,20,1,0,41,0.0,1018,14,10,47,1
2009-01-02 07:00:00,23,6,0.0,8.7,4,5,38,10:26 AM,10:39 PM,06:57 AM,05:29 PM,6,22,22,22,2,0,37,0.0,1018,17,10,78,1
2009-01-02 08:00:00,23,6,0.0,8.7,4,5,38,10:26 AM,10:39 PM,06:57 AM,05:29 PM,7,24,24,24,2,0,33,0.0,1018,19,10,109,2
2009-01-02 09:00:00,23,6,0.0,8.7,4,6,38,10:26 AM,10:39 PM,06:57 AM,05:29 PM,7,26,26,26,2,0,29,0.0,1018,21,10,141,2
2009-01-02 10:00:00,23,6,0.0,8.7,4,6,38,10:26 AM,10:39 PM,06:57 AM,05:29 PM,6,27,26,27,3,1,28,0.0,1017,22,10,184,3
2009-01-02 11:00:00,23,6,0.0,8.7,4,6,38,10:26 AM,10:39 PM,06:57 AM,05:29 PM,6,26,26,27,4,1,26,0.0,1017,22,10,227,4
2009-01-02 12:00:00,23,6,0.0,8.7,4,6,38,10:26 AM,10:39 PM,06:57 AM,05:29 PM,5,26,26,27,5,2,24,0.0,1016,23,10,270,5
2009-01-02 13:00:00,23,6,0.0,8.7,4,5,38,10:26 AM,10:39 PM,06:57 AM,05:29 PM,5,24,23,24,8,2,32,0.0,1016,20,10,278,5
2009-01-02 14:00:00,23,6,0.0,8.7,4,5,38,10:26 AM,10:39 PM,06:57 AM,05:29 PM,5,20,19,20,11,2,41,0.0,1015,17,10,285,6
2009-01-02 15:00:00,23,6,0.0,8.7,4,4,38,10:26 AM,10:39 PM,06:57 AM,05:29 PM,5,16,16,16,14,2,49,0.0,1015,13,10,292,7
2009-01-02 16:00:00,23,6,0.0,8.7,4,4,38,10:26 AM,10:39 PM,06:57 AM,05:29 PM,5,16,16,16,14,2,50,0.0,1016,13,10,285,7
2009-01-02 17:00:00,23,6,0.0,8.7,4,4,38,10:26 AM,10:39 PM,06:57 AM,05:29 PM,5,15,15,15,14,1,51,0.0,1016,12,10,278,7
2009-01-02 18:00:00,23,6,0.0,8.7,4,4,38,10:26 AM,10:39 PM,06:57 AM,05:29 PM,5,15,15,15,14,0,52,0.0,1017,12,10,270,6
2009-01-02 19:00:00,23,6,0.0,8.7,4,1,38,10:26 AM,10:39 PM,06:57 AM,05:29 PM,6,15,15,15,13,0,55,0.0,1017,11,10,268,6
2009-01-02 20:00:00,23,6,0.0,8.7,4,1,38,10:26 AM,10:39 PM,06:57 AM,05:29 PM,6,14,14,14,12,0,59,0.0,1017,11,10,266,6
2009-01-02 21:00:00,23,6,0.0,8.7,4,1,38,10:26 AM,10:39 PM,06:57 AM,05:29 PM,7,14,14,14,11,0,62,0.0,1017,10,10,264,5
2009-01-02 22:00:00,23,6,0.0,8.7,4,1,38,10:26 AM,10:39 PM,06:57 AM,05:29 PM,8,14,14,14,10,0,66,0.0,1016,10,10,278,5
2009-01-02 23:00:00,23,6,0.0,8.7,4,1,38,10:26 AM,10:39 PM,06:57 AM,05:29 PM,9,14,14,14,8,0,70,0.0,1016,9,10,292,4
2009-01-03 00:00:00,24,7,0.0,8.7,4,1,45,10:57 AM,11:35 PM,06:57 AM,05:29 PM,10,15,15,15,6,0,73,0.0,1016,9,10,306,3
2009-01-03 01:00:00,24,7,0.0,8.7,4,1,45,10:57 AM,11:35 PM,06:57 AM,05:29 PM,9,14,14,14,5,0,73,0.0,1016,8,10,275,2
2009-01-03 02:00:00,24,7,0.0,8.7,4,1,45,10:57 AM,11:35 PM,06:57 AM,05:29 PM,9,13,13,13,3,0,74,0.0,1016,7,10,244,1
2009-01-03 03:00:00,24,7,0.0,8.7,4,1,45,10:57 AM,11:35 PM,06:57 AM,05:29 PM,8,13,13,13,2,0,74,0.0,1017,7,10,213,1
